"time","occupancy"
"2017-03-01 00:02:01","2"
"2017-03-01 00:04:01","3"
"2017-03-01 00:06:01","2"
"2017-03-01 00:08:01","1"
"2017-03-01 00:10:01","4"
"2017-03-01 00:12:01","1"
"2017-03-01 00:14:01","2"
"2017-03-01 00:16:01","3"
"2017-03-01 00:18:01","1"
"2017-03-01 00:20:01","2"
"2017-03-01 00:22:01","1"
"2017-03-01 00:24:01","2"
"2017-03-01 00:26:01","3"
"2017-03-01 00:28:01","3"
"2017-03-01 00:30:01","3"
"2017-03-01 00:32:01","2"
"2017-03-01 00:34:01","2"
"2017-03-01 00:36:01","2"
"2017-03-01 00:38:01","2"
"2017-03-01 00:40:01","3"
"2017-03-01 00:42:01","2"
"2017-03-01 00:44:01","2"
"2017-03-01 00:48:01","1"
"2017-03-01 00:50:01","1"
"2017-03-01 00:52:01","2"
"2017-03-01 00:56:01","4"
"2017-03-01 00:58:01","1"
"2017-03-01 01:00:01","1"
"2017-03-01 01:02:01","2"
"2017-03-01 01:04:01","1"
"2017-03-01 01:06:01","1"
"2017-03-01 01:08:01","3"
"2017-03-01 01:10:01","2"
"2017-03-01 01:12:01","4"
"2017-03-01 01:14:01","3"
"2017-03-01 01:16:01","5"
"2017-03-01 01:18:01","4"
"2017-03-01 01:20:01","5"
"2017-03-01 01:22:01","8"
"2017-03-01 01:24:01","4"
"2017-03-01 01:26:01","3"
"2017-03-01 01:28:01","2"
"2017-03-01 01:30:01","1"
"2017-03-01 01:32:01","1"
"2017-03-01 01:34:01","2"
"2017-03-01 01:36:01","2"
"2017-03-01 01:38:01","1"
"2017-03-01 01:40:01","3"
"2017-03-01 01:42:01","2"
"2017-03-01 01:44:01","2"
"2017-03-01 01:46:01","2"
"2017-03-01 01:48:01","2"
"2017-03-01 01:50:01","1"
"2017-03-01 01:52:01","2"
"2017-03-01 01:54:01","2"
"2017-03-01 01:56:01","3"
"2017-03-01 01:58:01","2"
"2017-03-01 02:02:01","3"
"2017-03-01 02:04:01","3"
"2017-03-01 02:06:01","3"
"2017-03-01 02:08:01","2"
"2017-03-01 02:10:01","1"
"2017-03-01 02:12:01","1"
"2017-03-01 02:14:01","1"
"2017-03-01 02:16:01","3"
"2017-03-01 02:18:01","3"
"2017-03-01 02:20:01","1"
"2017-03-01 02:24:01","1"
"2017-03-01 02:28:01","1"
"2017-03-01 02:34:01","1"
"2017-03-01 02:36:01","1"
"2017-03-01 02:38:01","1"
"2017-03-01 02:40:01","2"
"2017-03-01 02:44:01","1"
"2017-03-01 02:58:01","1"
"2017-03-01 03:02:01","1"
"2017-03-01 03:08:01","1"
"2017-03-01 03:10:01","1"
"2017-03-01 03:20:01","1"
"2017-03-01 03:22:01","2"
"2017-03-01 03:28:01","1"
"2017-03-01 03:34:01","1"
"2017-03-01 03:36:01","1"
"2017-03-01 03:38:01","1"
"2017-03-01 03:40:01","2"
"2017-03-01 03:42:01","1"
"2017-03-01 03:44:01","2"
"2017-03-01 03:56:01","1"
"2017-03-01 04:02:01","1"
"2017-03-01 04:04:01","1"
"2017-03-01 04:06:01","1"
"2017-03-01 04:08:01","1"
"2017-03-01 04:14:01","1"
"2017-03-01 04:16:01","1"
"2017-03-01 04:22:01","1"
"2017-03-01 04:24:01","1"
"2017-03-01 04:32:01","1"
"2017-03-01 04:38:01","1"
"2017-03-01 04:46:01","1"
"2017-03-01 04:48:01","1"
"2017-03-01 04:50:01","1"
"2017-03-01 04:52:01","1"
"2017-03-01 04:56:01","1"
"2017-03-01 05:00:01","2"
"2017-03-01 05:36:01","1"
"2017-03-01 05:40:01","1"
"2017-03-01 05:52:01","1"
"2017-03-01 06:52:01","1"
"2017-03-01 06:54:01","1"
"2017-03-01 06:58:01","1"
"2017-03-01 07:02:01","1"
"2017-03-01 07:04:01","1"
"2017-03-01 07:08:01","1"
"2017-03-01 07:12:01","1"
"2017-03-01 08:06:01","1"
"2017-03-01 08:12:01","1"
"2017-03-01 08:18:01","1"
"2017-03-01 08:20:01","1"
"2017-03-01 08:40:01","1"
"2017-03-01 08:56:01","1"
"2017-03-01 08:58:01","1"
"2017-03-01 09:02:01","1"
"2017-03-01 09:04:01","1"
"2017-03-01 09:12:01","1"
"2017-03-01 09:22:01","1"
"2017-03-01 09:26:01","1"
"2017-03-01 09:36:01","1"
"2017-03-01 09:40:01","2"
"2017-03-01 09:42:01","2"
"2017-03-01 09:46:01","1"
"2017-03-01 09:48:01","1"
"2017-03-01 09:50:01","1"
"2017-03-01 09:52:01","1"
"2017-03-01 09:54:01","1"
"2017-03-01 09:56:01","3"
"2017-03-01 09:58:01","1"
"2017-03-01 10:16:01","1"
"2017-03-01 10:18:01","3"
"2017-03-01 10:20:01","1"
"2017-03-01 10:22:01","1"
"2017-03-01 10:24:01","2"
"2017-03-01 10:26:01","2"
"2017-03-01 10:30:01","2"
"2017-03-01 10:32:01","1"
"2017-03-01 10:34:01","1"
"2017-03-01 10:36:01","1"
"2017-03-01 10:42:01","1"
"2017-03-01 10:44:01","1"
"2017-03-01 10:46:01","3"
"2017-03-01 10:48:01","2"
"2017-03-01 10:50:01","2"
"2017-03-01 10:52:01","5"
"2017-03-01 10:54:01","3"
"2017-03-01 10:56:01","5"
"2017-03-01 11:00:01","1"
"2017-03-01 11:02:01","4"
"2017-03-01 11:04:01","3"
"2017-03-01 11:06:01","1"
"2017-03-01 11:08:01","1"
"2017-03-01 11:10:01","1"
"2017-03-01 11:12:01","2"
"2017-03-01 11:14:01","2"
"2017-03-01 11:16:01","2"
"2017-03-01 11:18:01","2"
"2017-03-01 11:20:01","2"
"2017-03-01 11:22:01","1"
"2017-03-01 11:26:01","3"
"2017-03-01 11:28:01","2"
"2017-03-01 11:30:01","2"
"2017-03-01 11:32:01","2"
"2017-03-01 11:34:01","1"
"2017-03-01 11:36:01","1"
"2017-03-01 11:38:01","4"
"2017-03-01 11:40:01","1"
"2017-03-01 11:42:01","1"
"2017-03-01 11:44:01","1"
"2017-03-01 11:46:01","1"
"2017-03-01 11:48:01","1"
"2017-03-01 11:50:01","3"
"2017-03-01 11:52:01","3"
"2017-03-01 11:54:01","4"
"2017-03-01 11:56:01","3"
"2017-03-01 11:58:01","4"
"2017-03-01 12:00:01","5"
"2017-03-01 12:02:01","4"
"2017-03-01 12:04:01","3"
"2017-03-01 12:06:01","2"
"2017-03-01 12:08:01","2"
"2017-03-01 12:10:01","6"
"2017-03-01 12:12:01","3"
"2017-03-01 12:14:01","3"
"2017-03-01 12:16:01","4"
"2017-03-01 12:18:01","4"
"2017-03-01 12:20:01","5"
"2017-03-01 12:22:01","4"
"2017-03-01 12:24:01","5"
"2017-03-01 12:26:01","3"
"2017-03-01 12:28:01","5"
"2017-03-01 12:30:01","3"
"2017-03-01 12:32:01","5"
"2017-03-01 12:34:01","6"
"2017-03-01 12:36:01","3"
"2017-03-01 12:38:01","2"
"2017-03-01 12:40:01","5"
"2017-03-01 12:42:01","4"
"2017-03-01 12:44:01","7"
"2017-03-01 12:46:01","8"
"2017-03-01 12:48:01","3"
"2017-03-01 12:50:01","3"
"2017-03-01 12:52:01","5"
"2017-03-01 12:54:01","5"
"2017-03-01 12:56:01","6"
"2017-03-01 12:58:01","6"
"2017-03-01 13:00:01","7"
"2017-03-01 13:02:01","7"
"2017-03-01 13:04:01","6"
"2017-03-01 13:06:01","4"
"2017-03-01 13:08:01","5"
"2017-03-01 13:10:01","7"
"2017-03-01 13:12:01","7"
"2017-03-01 13:14:01","7"
"2017-03-01 13:16:01","9"
"2017-03-01 13:18:01","4"
"2017-03-01 13:20:01","7"
"2017-03-01 13:22:01","5"
"2017-03-01 13:24:01","4"
"2017-03-01 13:26:01","3"
"2017-03-01 13:28:01","8"
"2017-03-01 13:30:01","5"
"2017-03-01 13:32:01","4"
"2017-03-01 13:34:01","4"
"2017-03-01 13:36:01","5"
"2017-03-01 13:38:01","2"
"2017-03-01 13:40:01","7"
"2017-03-01 13:42:01","3"
"2017-03-01 13:44:01","6"
"2017-03-01 13:46:01","6"
"2017-03-01 13:48:01","7"
"2017-03-01 13:50:01","9"
"2017-03-01 13:52:01","10"
"2017-03-01 13:54:01","11"
"2017-03-01 13:56:01","10"
"2017-03-01 13:58:01","7"
"2017-03-01 14:00:01","8"
"2017-03-01 14:02:01","11"
"2017-03-01 14:04:01","9"
"2017-03-01 14:06:01","7"
"2017-03-01 14:08:01","9"
"2017-03-01 14:10:01","6"
"2017-03-01 14:12:01","13"
"2017-03-01 14:14:01","11"
"2017-03-01 14:16:01","10"
"2017-03-01 14:18:01","11"
"2017-03-01 14:20:01","7"
"2017-03-01 14:22:01","9"
"2017-03-01 14:24:01","8"
"2017-03-01 14:26:01","12"
"2017-03-01 14:28:01","12"
"2017-03-01 14:30:01","14"
"2017-03-01 14:32:01","11"
"2017-03-01 14:34:01","8"
"2017-03-01 14:36:01","12"
"2017-03-01 14:38:01","13"
"2017-03-01 14:40:01","13"
"2017-03-01 14:42:01","13"
"2017-03-01 14:44:01","14"
"2017-03-01 14:46:01","7"
"2017-03-01 14:48:01","10"
"2017-03-01 14:50:01","9"
"2017-03-01 14:52:01","13"
"2017-03-01 14:54:01","11"
"2017-03-01 14:56:01","8"
"2017-03-01 14:58:01","12"
"2017-03-01 15:00:01","15"
"2017-03-01 15:02:01","9"
"2017-03-01 15:04:01","11"
"2017-03-01 15:06:01","14"
"2017-03-01 15:08:01","10"
"2017-03-01 15:10:01","11"
"2017-03-01 15:12:01","14"
"2017-03-01 15:14:01","11"
"2017-03-01 15:16:01","7"
"2017-03-01 15:18:01","7"
"2017-03-01 15:20:01","4"
"2017-03-01 15:22:01","11"
"2017-03-01 15:24:01","11"
"2017-03-01 15:26:01","7"
"2017-03-01 15:28:01","9"
"2017-03-01 15:30:01","8"
"2017-03-01 15:32:01","12"
"2017-03-01 15:34:01","8"
"2017-03-01 15:36:01","9"
"2017-03-01 15:38:01","10"
"2017-03-01 15:40:01","11"
"2017-03-01 15:42:01","12"
"2017-03-01 15:44:01","8"
"2017-03-01 15:46:01","15"
"2017-03-01 15:48:01","10"
"2017-03-01 15:50:01","11"
"2017-03-01 15:52:01","11"
"2017-03-01 15:54:01","9"
"2017-03-01 15:56:01","16"
"2017-03-01 15:58:01","11"
"2017-03-01 16:00:01","10"
"2017-03-01 16:02:01","14"
"2017-03-01 16:04:01","12"
"2017-03-01 16:06:01","9"
"2017-03-01 16:08:01","11"
"2017-03-01 16:10:01","10"
"2017-03-01 16:12:01","10"
"2017-03-01 16:14:01","9"
"2017-03-01 16:16:01","9"
"2017-03-01 16:18:01","10"
"2017-03-01 16:20:01","11"
"2017-03-01 16:22:01","9"
"2017-03-01 16:24:01","4"
"2017-03-01 16:26:01","19"
"2017-03-01 16:28:01","10"
"2017-03-01 16:30:01","13"
"2017-03-01 16:32:01","9"
"2017-03-01 16:34:01","12"
"2017-03-01 16:36:01","16"
"2017-03-01 16:38:01","10"
"2017-03-01 16:40:01","12"
"2017-03-01 16:42:01","11"
"2017-03-01 16:44:01","13"
"2017-03-01 16:46:01","17"
"2017-03-01 16:48:01","8"
"2017-03-01 16:50:01","12"
"2017-03-01 16:52:01","14"
"2017-03-01 16:54:01","16"
"2017-03-01 16:56:01","18"
"2017-03-01 16:58:01","16"
"2017-03-01 17:00:01","13"
"2017-03-01 17:02:01","17"
"2017-03-01 17:04:01","13"
"2017-03-01 17:06:01","13"
"2017-03-01 17:08:01","13"
"2017-03-01 17:10:01","14"
"2017-03-01 17:12:01","14"
"2017-03-01 17:14:01","14"
"2017-03-01 17:16:01","14"
"2017-03-01 17:18:01","9"
"2017-03-01 17:20:01","9"
"2017-03-01 17:22:01","12"
"2017-03-01 17:24:01","17"
"2017-03-01 17:26:01","13"
"2017-03-01 17:28:01","12"
"2017-03-01 17:30:01","14"
"2017-03-01 17:32:01","10"
"2017-03-01 17:34:01","10"
"2017-03-01 17:36:01","9"
"2017-03-01 17:38:01","11"
"2017-03-01 17:40:01","10"
"2017-03-01 17:42:01","15"
"2017-03-01 17:44:01","11"
"2017-03-01 17:46:01","7"
"2017-03-01 17:48:01","9"
"2017-03-01 17:50:01","11"
"2017-03-01 17:52:01","11"
"2017-03-01 17:54:01","9"
"2017-03-01 17:56:01","12"
"2017-03-01 17:58:01","11"
"2017-03-01 18:00:01","13"
"2017-03-01 18:02:01","13"
"2017-03-01 18:04:01","10"
"2017-03-01 18:06:01","8"
"2017-03-01 18:08:01","7"
"2017-03-01 18:10:01","9"
"2017-03-01 18:12:01","11"
"2017-03-01 18:14:01","15"
"2017-03-01 18:16:01","11"
"2017-03-01 18:18:01","7"
"2017-03-01 18:20:01","7"
"2017-03-01 18:22:01","8"
"2017-03-01 18:24:01","7"
"2017-03-01 18:26:01","7"
"2017-03-01 18:28:01","9"
"2017-03-01 18:30:01","8"
"2017-03-01 18:32:01","9"
"2017-03-01 18:34:01","9"
"2017-03-01 18:36:01","9"
"2017-03-01 18:38:01","11"
"2017-03-01 18:40:01","7"
"2017-03-01 18:42:01","7"
"2017-03-01 18:44:01","8"
"2017-03-01 18:46:01","9"
"2017-03-01 18:48:01","9"
"2017-03-01 18:50:01","5"
"2017-03-01 18:52:01","6"
"2017-03-01 18:54:01","5"
"2017-03-01 18:56:01","5"
"2017-03-01 18:58:01","9"
"2017-03-01 19:00:01","4"
"2017-03-01 19:02:01","4"
"2017-03-01 19:04:01","4"
"2017-03-01 19:06:01","2"
"2017-03-01 19:08:01","3"
"2017-03-01 19:10:01","7"
"2017-03-01 19:12:01","4"
"2017-03-01 19:14:01","4"
"2017-03-01 19:16:01","3"
"2017-03-01 19:18:01","7"
"2017-03-01 19:20:01","4"
"2017-03-01 19:22:01","6"
"2017-03-01 19:24:01","5"
"2017-03-01 19:26:01","10"
"2017-03-01 19:28:01","8"
"2017-03-01 19:30:01","7"
"2017-03-01 19:32:01","5"
"2017-03-01 19:34:01","6"
"2017-03-01 19:36:01","6"
"2017-03-01 19:38:01","8"
"2017-03-01 19:40:01","3"
"2017-03-01 19:42:01","5"
"2017-03-01 19:44:01","7"
"2017-03-01 19:46:01","6"
"2017-03-01 19:48:01","4"
"2017-03-01 19:50:01","5"
"2017-03-01 19:52:01","5"
"2017-03-01 19:54:01","8"
"2017-03-01 19:56:01","4"
"2017-03-01 19:58:01","5"
"2017-03-01 20:00:01","8"
"2017-03-01 20:02:01","8"
"2017-03-01 20:04:01","9"
"2017-03-01 20:06:01","7"
"2017-03-01 20:08:01","7"
"2017-03-01 20:10:01","3"
"2017-03-01 20:12:01","5"
"2017-03-01 20:14:01","6"
"2017-03-01 20:16:01","2"
"2017-03-01 20:18:01","4"
"2017-03-01 20:20:01","6"
"2017-03-01 20:22:01","10"
"2017-03-01 20:24:01","9"
"2017-03-01 20:26:01","7"
"2017-03-01 20:28:01","8"
"2017-03-01 20:30:01","10"
"2017-03-01 20:32:01","9"
"2017-03-01 20:34:01","9"
"2017-03-01 20:36:01","8"
"2017-03-01 20:38:01","7"
"2017-03-01 20:40:01","8"
"2017-03-01 20:42:01","7"
"2017-03-01 20:44:01","3"
"2017-03-01 20:46:01","3"
"2017-03-01 20:48:01","4"
"2017-03-01 20:50:01","3"
"2017-03-01 20:52:01","6"
"2017-03-01 20:54:01","6"
"2017-03-01 20:56:01","3"
"2017-03-01 20:58:01","8"
"2017-03-01 21:00:01","9"
"2017-03-01 21:02:01","8"
"2017-03-01 21:04:01","6"
"2017-03-01 21:06:01","5"
"2017-03-01 21:08:01","12"
"2017-03-01 21:10:01","7"
"2017-03-01 21:12:01","7"
"2017-03-01 21:14:01","5"
"2017-03-01 21:16:01","8"
"2017-03-01 21:18:01","11"
"2017-03-01 21:20:01","7"
"2017-03-01 21:22:01","7"
"2017-03-01 21:24:01","6"
"2017-03-01 21:26:01","4"
"2017-03-01 21:28:01","5"
"2017-03-01 21:30:01","3"
"2017-03-01 21:32:01","4"
"2017-03-01 21:34:01","5"
"2017-03-01 21:36:01","3"
"2017-03-01 21:38:01","5"
"2017-03-01 21:40:01","7"
"2017-03-01 21:42:01","8"
"2017-03-01 21:44:01","5"
"2017-03-01 21:46:01","4"
"2017-03-01 21:48:01","7"
"2017-03-01 21:50:01","6"
"2017-03-01 21:52:01","4"
"2017-03-01 21:54:01","4"
"2017-03-01 21:56:01","5"
"2017-03-01 21:58:01","4"
"2017-03-01 22:00:01","6"
"2017-03-01 22:02:01","4"
"2017-03-01 22:04:01","7"
"2017-03-01 22:06:01","5"
"2017-03-01 22:08:01","4"
"2017-03-01 22:10:01","7"
"2017-03-01 22:12:01","7"
"2017-03-01 22:14:01","3"
"2017-03-01 22:16:01","5"
"2017-03-01 22:18:01","7"
"2017-03-01 22:20:01","4"
"2017-03-01 22:22:01","4"
"2017-03-01 22:24:01","5"
"2017-03-01 22:26:01","7"
"2017-03-01 22:28:01","5"
"2017-03-01 22:30:01","7"
"2017-03-01 22:32:01","3"
"2017-03-01 22:34:01","8"
"2017-03-01 22:36:01","5"
"2017-03-01 22:38:01","5"
"2017-03-01 22:40:01","6"
"2017-03-01 22:42:01","8"
"2017-03-01 22:44:01","10"
"2017-03-01 22:46:01","7"
"2017-03-01 22:48:01","6"
"2017-03-01 22:50:01","6"
"2017-03-01 22:52:01","5"
"2017-03-01 22:54:01","4"
"2017-03-01 22:56:01","7"
"2017-03-01 22:58:01","5"
"2017-03-01 23:00:01","6"
"2017-03-01 23:02:01","5"
"2017-03-01 23:04:01","7"
"2017-03-01 23:06:01","5"
"2017-03-01 23:08:01","5"
"2017-03-01 23:10:01","4"
"2017-03-01 23:12:01","6"
"2017-03-01 23:14:01","5"
"2017-03-01 23:16:01","3"
"2017-03-01 23:18:01","4"
"2017-03-01 23:20:01","4"
"2017-03-01 23:22:01","3"
"2017-03-01 23:24:01","3"
"2017-03-01 23:26:01","2"
"2017-03-01 23:28:01","3"
"2017-03-01 23:30:01","4"
"2017-03-01 23:32:01","3"
"2017-03-01 23:34:01","4"
"2017-03-01 23:36:01","2"
"2017-03-01 23:38:01","4"
"2017-03-01 23:40:01","2"
"2017-03-01 23:42:01","2"
"2017-03-01 23:44:01","3"
"2017-03-01 23:46:01","2"
"2017-03-01 23:48:01","3"
"2017-03-01 23:50:01","3"
"2017-03-01 23:52:01","3"
